id,join_key,value,category
149,A,198,cat2
150,C,937,cat3
151,A,605,cat1
152,A,200,cat3
153,A,176,cat3
154,A,885,cat1
155,A,114,cat1
156,C,247,cat2
157,A,947,cat3
158,B,384,cat3
159,A,406,cat3
160,B,115,cat1
161,B,150,cat1
162,A,264,cat2
163,A,567,cat3
164,B,802,cat2
165,A,280,cat2
166,B,434,cat2
167,B,108,cat3
168,A,965,cat3
169,B,162,cat2
170,A,170,cat2
171,A,50,cat3
172,A,228,cat1
173,D,16,cat2
174,C,212,cat2
175,A,811,cat2
176,E,701,cat3
177,A,950,cat1
178,B,612,cat3
179,B,333,cat2
180,A,146,cat3
181,G,817,cat3
182,A,688,cat2
183,A,81,cat2
184,A,606,cat2
185,B,77,cat2
186,A,996,cat3
187,A,441,cat3
188,A,2,cat3
189,A,861,cat3
190,A,594,cat3
191,A,533,cat1
192,C,334,cat2
193,A,621,cat3
194,A,295,cat3
195,A,144,cat3
196,A,182,cat2
197,A,403,cat2
198,A,23,cat2
199,C,341,cat3
200,A,564,cat1
201,G,854,cat1
202,A,186,cat2
203,A,986,cat2
204,B,81,cat2
205,A,248,cat1
206,A,688,cat3
207,A,443,cat1
208,A,971,cat1
209,A,123,cat1
210,A,602,cat3
211,A,412,cat3
212,C,390,cat2
213,A,792,cat2
214,B,665,cat3
215,A,546,cat2
216,A,231,cat2
217,A,69,cat1
218,A,372,cat2
219,A,3,cat2
220,C,912,cat3
221,A,919,cat3
222,A,568,cat2
223,A,962,cat3
224,A,605,cat3
225,A,422,cat1
226,A,406,cat1
227,A,762,cat3
228,A,937,cat2
229,A,176,cat2
230,C,796,cat3
231,B,952,cat2
232,A,916,cat1
233,C,603,cat2
234,F,11,cat2
235,A,373,cat1
236,F,685,cat1
237,A,309,cat2
238,D,21,cat3
239,G,65,cat3
240,B,524,cat1
241,A,839,cat2
242,F,698,cat2
243,H,549,cat3
244,B,772,cat3
245,B,461,cat3
246,B,431,cat1
247,G,935,cat1
248,F,126,cat1
249,A,617,cat1
250,C,209,cat3
251,A,781,cat1
252,A,198,cat1
253,C,849,cat1
254,A,373,cat2
255,B,253,cat3
256,A,614,cat3
257,A,989,cat2
258,A,814,cat2
259,A,913,cat2
260,A,459,cat2
261,A,162,cat2
262,B,246,cat2
263,F,861,cat3
264,A,134,cat1
265,E,948,cat1
266,A,753,cat3
267,A,98,cat2
268,A,806,cat3
269,C,756,cat2
270,B,581,cat3
271,A,736,cat1
272,B,820,cat2
273,A,496,cat2
274,B,640,cat1
275,A,661,cat1
276,A,39,cat3
277,A,623,cat3
278,A,217,cat2
279,B,631,cat3
280,A,352,cat2
281,A,34,cat1
282,B,438,cat1
283,A,430,cat2
284,A,522,cat1
285,F,882,cat1
286,C,232,cat2
287,A,377,cat3
288,C,101,cat3
289,A,861,cat3
290,A,913,cat2
291,A,172,cat3
292,F,449,cat3
293,A,226,cat1
294,F,534,cat2
295,H,994,cat3
296,C,670,cat3
297,B,265,cat1
298,E,371,cat3
299,C,820,cat1
300,B,546,cat3
301,A,737,cat3
302,C,995,cat3
303,A,645,cat1
304,A,231,cat3
305,A,89,cat2
306,A,673,cat1
307,B,171,cat2
308,C,576,cat3
309,A,324,cat1
310,A,642,cat2
311,A,86,cat3
312,B,79,cat2
313,B,491,cat2
314,C,81,cat3
315,A,101,cat2
316,A,442,cat2
317,C,228,cat1
318,A,387,cat1
319,A,357,cat2
320,A,992,cat3
321,A,426,cat2
322,A,901,cat2
323,A,902,cat3
324,A,778,cat2
325,C,28,cat3
326,A,759,cat2
327,A,286,cat2
328,A,180,cat2
329,B,361,cat1
330,B,816,cat3
331,A,273,cat3
332,A,776,cat3
333,D,942,cat1
334,A,586,cat3
335,A,496,cat1
336,A,902,cat3
337,E,824,cat2
338,B,893,cat3
339,A,146,cat2
340,C,611,cat3
341,B,332,cat1
342,A,893,cat2
343,A,496,cat3
344,A,734,cat2
345,A,926,cat3
346,A,253,cat1
347,E,463,cat3
348,F,465,cat2
349,A,939,cat2
350,A,56,cat3
351,A,542,cat1
352,F,670,cat3
353,A,873,cat1
354,A,765,cat1
355,B,42,cat2
356,A,197,cat3
357,B,826,cat3
358,A,114,cat2
359,C,336,cat3
360,A,543,cat3
361,D,536,cat3
362,B,912,cat3
363,A,883,cat2
364,B,941,cat1
365,A,989,cat1
366,B,485,cat3
367,A,723,cat1
368,B,999,cat1
369,A,652,cat2
370,B,930,cat1
371,C,306,cat2
372,D,842,cat1
373,D,226,cat1
374,A,637,cat2
375,A,206,cat2
376,C,631,cat3
377,C,480,cat2
378,B,639,cat1
379,H,311,cat3
380,A,826,cat2
381,G,894,cat1
382,B,505,cat1
383,A,20,cat1
384,G,660,cat1
385,C,715,cat2
386,A,24,cat3
387,A,206,cat2
388,C,454,cat2
389,A,954,cat3
390,G,846,cat1
391,A,620,cat3
392,B,526,cat3
393,A,786,cat2
394,A,621,cat2
395,H,186,cat2
396,A,367,cat3
397,A,317,cat2
398,D,842,cat3
399,A,141,cat1
400,A,510,cat2
401,C,690,cat2
402,B,609,cat1
403,A,276,cat1
404,A,657,cat3
405,B,394,cat3
406,A,891,cat1
407,C,470,cat3
408,A,47,cat3
409,C,778,cat2
410,B,976,cat3
411,B,288,cat2
412,B,825,cat2
413,A,115,cat2
414,A,949,cat3
415,A,117,cat2
416,B,297,cat1
417,A,676,cat1
418,C,11,cat1
419,A,484,cat2
420,C,961,cat3
421,B,815,cat2
422,B,412,cat2
423,C,58,cat1
424,B,725,cat1
425,D,973,cat2
426,H,207,cat1
427,C,257,cat1
428,D,119,cat2
429,A,216,cat3
430,A,658,cat1
431,B,867,cat2
432,B,859,cat1
433,F,849,cat3
434,A,11,cat2
435,A,179,cat1
436,A,148,cat2
437,C,981,cat2
438,A,751,cat3
439,A,618,cat3
440,A,535,cat3
441,C,368,cat1
442,B,487,cat1
443,A,893,cat3
444,A,842,cat2
445,A,499,cat2
446,A,748,cat2
447,A,641,cat1
448,A,931,cat3
449,B,9,cat2
450,A,549,cat2
451,E,995,cat3
452,A,52,cat2
453,A,737,cat1
454,A,173,cat1
455,G,833,cat2
456,B,885,cat2
457,A,81,cat3
458,A,494,cat1
459,B,12,cat2
460,B,744,cat2
461,A,104,cat3
462,A,306,cat2
463,A,810,cat1
464,C,897,cat3
465,B,319,cat2
466,A,810,cat1
467,B,970,cat2
468,C,377,cat3
469,B,984,cat2
470,A,178,cat3
471,A,951,cat2
472,A,470,cat2
473,A,703,cat2
474,E,229,cat1
475,A,158,cat2
476,B,367,cat3
477,B,126,cat2
478,E,209,cat1
479,A,909,cat1
480,A,905,cat3
481,A,526,cat2
482,A,1,cat3
483,E,274,cat1
484,B,228,cat3
485,A,763,cat1
486,A,424,cat3
487,B,826,cat2
488,B,576,cat3
489,A,113,cat3
490,A,393,cat1
491,H,298,cat2
492,A,225,cat2
493,A,272,cat3
494,A,726,cat3
495,C,129,cat2
496,C,8,cat2
497,A,907,cat3
498,A,324,cat1
499,A,623,cat1
500,A,737,cat1
501,A,473,cat1
502,A,925,cat1
503,A,118,cat3
504,A,540,cat3
505,D,868,cat2
506,A,338,cat3
507,F,957,cat3
508,A,259,cat2
509,A,239,cat3
510,A,276,cat2
511,G,95,cat3
512,A,732,cat1
513,E,405,cat2
514,A,707,cat1
515,A,699,cat2
516,C,756,cat1
517,A,928,cat2
518,A,70,cat1
519,A,550,cat1
520,A,463,cat2
521,A,422,cat1
522,A,214,cat2
523,G,260,cat2
524,A,360,cat1
525,A,302,cat1
526,A,465,cat3
527,C,675,cat2
528,A,16,cat1
529,A,11,cat2
530,A,993,cat3
531,B,423,cat3
532,C,580,cat2
533,B,529,cat1
534,A,302,cat2
535,E,454,cat1
536,A,417,cat1
537,A,448,cat3
538,A,336,cat2
539,B,30,cat2
540,A,352,cat2
541,A,809,cat1
542,A,371,cat2
543,A,534,cat1
544,A,459,cat3
545,B,363,cat3
546,C,523,cat3
547,B,535,cat1
548,A,339,cat1
549,A,120,cat2
550,A,257,cat3
551,A,607,cat2
552,A,646,cat1
553,A,591,cat3
554,A,980,cat3
555,A,277,cat3
556,B,252,cat2
557,A,96,cat1
558,D,54,cat3
559,A,651,cat2
560,A,537,cat2
561,A,464,cat3
562,A,675,cat3
563,A,561,cat2
564,A,714,cat2
565,A,159,cat1
566,A,31,cat2
567,B,944,cat1
568,B,542,cat1
569,A,275,cat1
570,A,578,cat2
571,F,552,cat2
572,A,395,cat3
573,E,202,cat3
574,B,83,cat1
575,A,538,cat2
576,C,942,cat2
577,A,349,cat3
578,A,717,cat3
579,A,90,cat2
580,A,215,cat1
581,A,740,cat2
582,B,441,cat3
583,A,520,cat1
584,H,12,cat2
585,B,667,cat2
586,B,563,cat3
587,B,796,cat1
588,B,586,cat1
589,A,207,cat1
590,A,461,cat3
591,A,291,cat3
592,A,327,cat1
593,C,759,cat2
594,B,742,cat3
595,A,870,cat1
596,A,813,cat1
597,A,468,cat3
598,A,783,cat1
599,A,64,cat1
600,B,122,cat3
601,C,776,cat1
602,A,173,cat3
603,A,725,cat2
604,A,271,cat2
605,A,726,cat2
606,A,296,cat1
607,A,25,cat2
608,A,415,cat1
609,A,417,cat1
610,A,147,cat3
611,A,226,cat2
612,A,185,cat2
613,A,178,cat2
614,A,97,cat1
615,E,98,cat3
616,A,716,cat1
617,B,200,cat1
618,C,307,cat2
619,A,986,cat3
620,A,523,cat1
621,F,107,cat3
622,A,685,cat2
623,B,451,cat2
624,A,969,cat2
625,A,321,cat1
626,G,620,cat2
627,B,291,cat1
628,A,705,cat3
629,A,97,cat1
630,A,723,cat2
631,D,142,cat2
632,A,294,cat3
633,A,41,cat3
634,F,212,cat2
635,B,749,cat2
636,F,515,cat1
637,A,551,cat1
638,A,339,cat2
639,A,571,cat2
640,B,972,cat2
641,A,640,cat2
642,A,334,cat3
643,A,58,cat3
644,A,818,cat3
645,A,95,cat3
646,A,7,cat2
647,B,397,cat2
648,A,867,cat3
649,A,543,cat3
650,A,365,cat3
651,C,623,cat2
652,A,693,cat1
653,C,740,cat1
654,A,394,cat1
655,B,168,cat2
656,B,893,cat2
657,E,247,cat2
658,A,763,cat3
659,A,619,cat2
660,A,338,cat3
661,B,5,cat2
662,A,244,cat1
663,A,578,cat1
664,A,693,cat3
665,C,653,cat2
666,B,231,cat3
667,A,683,cat3
668,A,685,cat3
669,A,460,cat1
670,A,943,cat1
671,B,374,cat2
672,A,250,cat1
673,G,312,cat2
674,A,898,cat2
675,C,793,cat2
676,A,943,cat1
677,A,535,cat1
678,A,271,cat1
679,A,622,cat2
680,B,57,cat2
681,A,8,cat2
682,A,846,cat2
683,A,888,cat2
684,A,266,cat1
685,H,570,cat2
686,A,142,cat3
687,B,453,cat3
688,A,523,cat2
689,A,290,cat2
690,G,69,cat2
691,C,821,cat3
692,E,582,cat2
693,A,898,cat3
694,A,815,cat2
695,G,569,cat2
696,A,240,cat3
697,B,783,cat2
698,A,615,cat2
699,A,864,cat3
700,A,303,cat1
701,A,991,cat1
702,A,233,cat2
703,A,719,cat1
704,F,138,cat1
705,C,640,cat1
706,B,831,cat3
707,D,128,cat3
708,A,917,cat2
709,A,541,cat2
710,A,302,cat2
711,C,344,cat2
712,A,80,cat1
713,A,413,cat1
714,C,145,cat3
715,A,651,cat1
716,A,763,cat3
717,B,566,cat1
718,A,593,cat3
719,A,116,cat3
720,B,5,cat3
721,B,552,cat3
722,B,540,cat2
723,A,444,cat1
724,E,624,cat1
725,B,633,cat2
726,B,975,cat2
727,D,471,cat2
728,G,913,cat3
729,A,7,cat3
730,A,588,cat2
731,A,170,cat1
732,B,485,cat2
733,A,475,cat1
734,A,286,cat3
735,H,92,cat3
736,B,608,cat2
737,A,766,cat3
738,D,420,cat2
739,B,52,cat1
740,A,852,cat1
741,A,499,cat1
742,B,858,cat1
743,A,357,cat2
744,A,918,cat2
745,C,135,cat2
746,C,521,cat1
747,A,504,cat1
748,A,789,cat1
749,F,143,cat2
750,A,803,cat2
751,F,447,cat3
752,A,362,cat3
753,A,156,cat1
754,A,608,cat3
755,G,402,cat2
756,A,596,cat3
757,B,566,cat1
758,A,306,cat3
759,A,71,cat2
760,G,301,cat3
761,E,546,cat1
762,A,111,cat3
763,B,417,cat1
764,B,856,cat2
765,A,120,cat2
766,C,479,cat2
767,A,964,cat1
768,A,584,cat3
769,A,535,cat3
770,C,149,cat2
771,A,228,cat3
772,A,709,cat2
773,B,877,cat2
774,A,811,cat1
775,C,827,cat2
776,A,806,cat1
777,A,833,cat2
778,B,611,cat1
779,A,848,cat1
780,A,889,cat2
781,C,269,cat2
782,A,604,cat3
783,B,147,cat1
784,A,954,cat3
785,A,991,cat1
786,B,15,cat2
787,B,279,cat3
788,A,218,cat3
789,B,504,cat2
790,A,258,cat2
791,A,843,cat3
792,B,943,cat2
793,A,504,cat3
794,A,523,cat1
795,E,672,cat2
796,A,418,cat1
797,B,139,cat2
798,A,662,cat3
799,H,218,cat2
800,A,937,cat2
801,B,176,cat3
802,A,331,cat2
803,A,537,cat1
804,A,117,cat3
805,A,960,cat3
806,B,413,cat1
807,A,78,cat2
808,A,63,cat1
809,A,198,cat3
810,A,533,cat2
811,A,221,cat2
812,B,810,cat3
813,A,97,cat3
814,A,33,cat1
815,A,299,cat2
816,B,747,cat2
817,A,120,cat2
818,B,812,cat2
819,A,414,cat1
820,B,367,cat1
821,A,636,cat2
822,A,992,cat2
823,B,37,cat2
824,B,417,cat2
825,B,920,cat1
826,B,41,cat3
827,E,116,cat2
828,A,711,cat2
829,C,266,cat1
830,A,203,cat3
831,B,301,cat2
832,A,806,cat2
833,A,628,cat1
834,A,798,cat2
835,A,339,cat2
836,E,934,cat3
837,H,168,cat2
838,A,520,cat1
839,A,611,cat3
840,A,930,cat3
841,C,59,cat2
842,C,595,cat1
843,A,427,cat2
844,A,220,cat2
845,B,723,cat2
846,H,772,cat2
847,B,29,cat2
848,C,24,cat1
849,C,67,cat1
850,A,308,cat2
851,C,765,cat1
852,A,117,cat1
853,B,720,cat2
854,A,732,cat1
855,A,367,cat3
856,A,469,cat2
857,A,524,cat3
858,C,168,cat2
859,A,403,cat1
860,H,676,cat1
861,A,828,cat1
862,A,629,cat3
863,A,472,cat3
864,A,533,cat3
865,A,974,cat1
866,C,400,cat3
867,A,998,cat3
868,B,388,cat2
869,B,394,cat3
870,A,741,cat2
871,A,595,cat3
872,A,632,cat2
873,A,27,cat2
874,D,612,cat3
875,B,953,cat1
876,A,490,cat2
877,B,16,cat2
878,B,573,cat1
879,F,986,cat1
880,B,710,cat2
881,B,712,cat3
882,A,421,cat2
883,A,418,cat3
884,A,296,cat2
885,A,865,cat3
886,C,868,cat2
887,C,90,cat1
888,A,713,cat3
889,A,523,cat2
890,A,858,cat2
891,A,826,cat1
892,B,903,cat3
893,A,371,cat2
894,A,57,cat1
895,A,141,cat2
896,A,356,cat1
897,C,496,cat1
898,B,549,cat2
899,C,835,cat3
900,B,479,cat1
901,F,75,cat3
902,A,216,cat3
903,C,673,cat2
904,B,914,cat1
905,B,868,cat2
906,A,179,cat3
907,B,865,cat2
908,C,13,cat3
909,A,792,cat2
910,B,601,cat1
911,A,140,cat1
912,A,189,cat1
913,A,408,cat2
914,H,394,cat1
915,B,98,cat1
916,A,711,cat3
917,A,676,cat1
918,A,975,cat3
919,A,853,cat1
920,A,536,cat1
921,C,676,cat3
922,A,427,cat3
923,A,298,cat2
924,A,744,cat3
925,F,990,cat2
926,A,558,cat3
927,A,483,cat3
928,A,259,cat1
929,C,804,cat2
930,A,409,cat1
931,B,954,cat3
932,C,77,cat3
933,A,715,cat2
934,C,849,cat3
935,B,202,cat2
936,C,187,cat2
937,A,57,cat1
938,B,152,cat3
939,A,626,cat1
940,F,865,cat3
941,C,776,cat1
942,A,272,cat3
943,B,209,cat3
944,G,392,cat3
945,B,352,cat3
946,A,55,cat1
947,A,888,cat1
948,B,530,cat2
949,A,161,cat1
950,B,294,cat2
951,A,609,cat2
952,A,620,cat1
953,A,864,cat3
954,A,96,cat2
955,A,444,cat1
956,A,633,cat3
957,B,614,cat2
958,C,154,cat1
959,B,42,cat3
960,B,66,cat2
961,C,517,cat1
962,H,855,cat1
963,A,610,cat1
964,B,830,cat1
965,A,642,cat2
966,C,291,cat2
967,B,957,cat2
968,D,390,cat2
969,B,965,cat1
970,A,842,cat1
971,C,80,cat1
972,A,626,cat1
973,A,935,cat2
974,B,204,cat1
975,B,541,cat2
976,E,147,cat3
977,A,748,cat2
978,B,840,cat2
979,E,781,cat1
980,A,337,cat2
981,A,182,cat3
982,C,920,cat2
983,B,870,cat1
984,B,604,cat1
985,B,199,cat1
986,A,606,cat1
987,A,134,cat1
988,B,943,cat1
989,A,749,cat1
990,A,116,cat2
991,B,732,cat3
992,E,964,cat1
993,D,530,cat2
994,A,777,cat2
995,A,357,cat2
996,B,283,cat1
997,F,309,cat3
998,C,359,cat2
999,A,653,cat1
1000,A,978,cat1
1001,A,944,cat3
1002,B,265,cat2
1003,D,472,cat2
1004,B,239,cat3
1005,B,816,cat3
1006,A,428,cat2
1007,A,354,cat3
1008,B,468,cat1
1009,G,93,cat1
1010,A,120,cat2
1011,A,825,cat1
1012,C,298,cat1
1013,A,953,cat2
1014,C,628,cat3
1015,B,178,cat1
1016,A,328,cat2
1017,A,600,cat2
1018,B,697,cat3
1019,A,936,cat3
1020,E,945,cat2
1021,A,436,cat2
1022,A,737,cat2
1023,A,869,cat3
1024,E,923,cat1
1025,A,424,cat1
1026,B,998,cat3
1027,B,853,cat3
1028,A,631,cat3
1029,B,994,cat1
1030,A,680,cat3
1031,A,4,cat3
1032,A,328,cat3
1033,A,831,cat2
1034,A,565,cat3
1035,A,39,cat2
1036,A,272,cat2
1037,A,397,cat3
1038,B,283,cat2
1039,A,153,cat3
1040,A,151,cat2
1041,A,393,cat2
1042,A,706,cat3
1043,A,188,cat3
1044,B,533,cat2
1045,A,787,cat1
1046,A,474,cat1
1047,C,777,cat2
1048,A,454,cat1
1049,B,109,cat1
1050,A,232,cat3
1051,B,524,cat3
1052,B,425,cat1
1053,A,2,cat2
1054,B,402,cat3
1055,A,233,cat1
1056,E,95,cat2
1057,E,383,cat2
1058,A,854,cat1
1059,A,466,cat1
1060,B,529,cat2
1061,E,386,cat2
1062,A,269,cat1
1063,F,150,cat2
1064,B,685,cat3
1065,A,120,cat3
1066,A,493,cat3
1067,A,292,cat2
1068,A,888,cat2
1069,A,523,cat1
1070,A,126,cat1
1071,A,842,cat3
1072,A,81,cat2
1073,E,906,cat1
1074,B,658,cat3
1075,C,147,cat1
1076,G,259,cat3
1077,C,475,cat3
1078,A,523,cat3
1079,A,567,cat2
1080,H,561,cat1
1081,B,858,cat2
1082,C,998,cat3
1083,A,574,cat3
1084,A,189,cat1
1085,A,252,cat1
1086,C,26,cat2
1087,E,597,cat3
1088,B,900,cat1
1089,A,875,cat3
1090,A,863,cat3
1091,C,840,cat2
1092,A,318,cat1
1093,A,308,cat2
1094,A,726,cat2
1095,A,537,cat1
1096,G,280,cat3
1097,A,966,cat3
1098,A,283,cat2
1099,B,813,cat1
1100,B,286,cat2
1101,A,206,cat2
1102,D,238,cat1
1103,B,307,cat3
1104,C,117,cat2
1105,A,282,cat2
1106,A,763,cat3
1107,B,538,cat3
1108,A,518,cat3
1109,E,751,cat2
1110,B,512,cat2
1111,D,908,cat1
1112,A,73,cat2
1113,A,310,cat1
1114,A,776,cat2
1115,B,145,cat2
1116,B,922,cat2
1117,H,320,cat1
1118,A,240,cat1
1119,A,614,cat1
1120,C,56,cat1
1121,A,92,cat1
1122,A,520,cat3
1123,A,44,cat1
1124,H,339,cat2
1125,C,658,cat2
1126,A,301,cat3
1127,A,12,cat1
1128,A,866,cat3
1129,B,349,cat1
1130,C,470,cat1
1131,A,481,cat1
1132,D,66,cat1
1133,E,225,cat1
1134,C,350,cat1
1135,B,786,cat2
1136,G,437,cat3
1137,C,315,cat1
1138,A,454,cat1
1139,A,219,cat2
1140,B,825,cat2
1141,A,816,cat2
1142,A,870,cat1
1143,A,420,cat3
1144,B,105,cat1
1145,C,651,cat1
1146,A,719,cat3
1147,A,114,cat1
1148,A,788,cat1
1149,A,858,cat3
1150,D,356,cat3
1151,A,740,cat1
1152,B,5,cat2
1153,A,731,cat3
1154,A,218,cat2
1155,A,938,cat2
1156,C,271,cat1
1157,A,77,cat3
1158,C,772,cat3
1159,D,428,cat3
1160,C,622,cat1
1161,C,896,cat1
1162,A,901,cat2
1163,B,104,cat1
1164,A,189,cat3
1165,A,877,cat3
1166,C,588,cat2
1167,A,744,cat2
1168,B,591,cat2
1169,B,713,cat3
1170,A,93,cat1
1171,A,926,cat1
1172,A,358,cat3
1173,C,361,cat2
1174,A,279,cat1
1175,A,827,cat3
1176,B,980,cat3
1177,A,772,cat2
1178,C,421,cat3
1179,A,735,cat3
1180,B,749,cat2
1181,F,312,cat1
1182,C,876,cat2
1183,A,485,cat2
1184,H,689,cat3
1185,C,665,cat3
1186,A,595,cat2
1187,A,876,cat1
1188,A,609,cat2
1189,A,503,cat3
1190,A,430,cat1
1191,B,237,cat2
1192,A,66,cat1
1193,A,738,cat2
1194,D,393,cat2
1195,B,643,cat1
1196,C,619,cat3
1197,A,779,cat2
1198,A,16,cat2
1199,A,778,cat1
1200,B,214,cat3
1201,C,734,cat2
1202,A,325,cat1
1203,A,523,cat1
1204,C,494,cat3
1205,E,703,cat2
1206,A,559,cat1
1207,A,341,cat1
1208,A,875,cat1
1209,B,578,cat1
1210,A,262,cat2
1211,E,49,cat1
1212,B,725,cat3
1213,D,607,cat2
1214,B,406,cat2
1215,B,35,cat1
1216,B,603,cat3
1217,A,96,cat3
1218,A,166,cat2
1219,A,16,cat2
1220,A,477,cat3
1221,A,784,cat2
1222,C,380,cat2
1223,A,147,cat1
1224,A,106,cat3
1225,A,200,cat1
1226,A,179,cat2
1227,A,737,cat3
1228,A,63,cat3
1229,A,12,cat2
1230,B,217,cat1
1231,B,711,cat3
1232,A,628,cat2
1233,A,586,cat1
1234,D,285,cat2
1235,A,551,cat2
1236,A,93,cat1
1237,A,602,cat1
1238,A,417,cat3
1239,B,94,cat2
1240,A,457,cat2
1241,B,464,cat1
1242,B,870,cat1
1243,C,994,cat2
1244,A,581,cat3
1245,C,106,cat2
1246,B,942,cat1
1247,B,886,cat3
1248,A,889,cat3
1249,A,597,cat1
1250,A,921,cat1
1251,A,94,cat2
1252,A,340,cat3
1253,A,350,cat1
1254,A,778,cat1
1255,A,572,cat1
1256,C,538,cat1
1257,A,316,cat2
1258,A,827,cat2
1259,A,516,cat1
1260,A,357,cat3
1261,A,262,cat1
1262,A,878,cat3
1263,C,739,cat1
1264,B,737,cat2
1265,A,404,cat1
1266,B,966,cat1
1267,A,211,cat2
1268,A,505,cat3
1269,A,729,cat2
1270,A,395,cat1
1271,E,860,cat2
1272,A,131,cat3
1273,C,747,cat1
1274,A,613,cat3
1275,A,644,cat2
1276,A,832,cat2
1277,B,81,cat2
1278,A,613,cat1
1279,C,114,cat1
1280,A,454,cat2
1281,A,261,cat2
1282,B,890,cat2
1283,A,224,cat2
1284,A,983,cat2
1285,A,240,cat2
1286,G,788,cat2
1287,A,254,cat1
1288,F,954,cat2
1289,A,282,cat3
1290,A,606,cat2
1291,B,539,cat3
1292,E,707,cat1
1293,A,226,cat1
1294,B,235,cat3
1295,A,494,cat2
1296,A,249,cat2
1297,A,396,cat2
1298,C,128,cat3
1299,A,612,cat3
1300,A,105,cat1
1301,A,671,cat2
1302,B,98,cat2
1303,A,871,cat3
1304,F,690,cat2
1305,A,172,cat3
1306,A,479,cat3
1307,A,546,cat1
1308,A,338,cat2
1309,C,892,cat2
1310,B,42,cat1
1311,A,511,cat1
1312,C,412,cat2
1313,B,605,cat1
1314,C,815,cat3
1315,A,514,cat3
1316,A,561,cat3
1317,B,200,cat2
1318,B,885,cat3
1319,B,775,cat3
1320,A,566,cat1
1321,G,987,cat1
1322,C,508,cat2
1323,A,438,cat1
1324,E,636,cat2
1325,A,588,cat2
1326,A,192,cat2
1327,A,451,cat1
1328,B,428,cat3
1329,B,980,cat2
1330,A,508,cat2
1331,B,36,cat2
1332,B,800,cat3
1333,A,303,cat1
1334,A,337,cat3
1335,F,857,cat1
1336,A,665,cat1
1337,A,217,cat3
1338,A,937,cat2
1339,C,610,cat3
1340,A,681,cat1
1341,A,747,cat2
1342,A,712,cat3
1343,B,725,cat2
1344,F,307,cat1
1345,A,244,cat3
1346,B,947,cat2
1347,A,224,cat3
1348,B,935,cat2
1349,B,573,cat3
1350,A,723,cat1
1351,A,377,cat1
1352,B,191,cat3
1353,A,18,cat1
1354,B,170,cat1
1355,A,640,cat2
1356,C,73,cat2
1357,F,161,cat3
1358,A,933,cat2
1359,A,2,cat1
1360,B,946,cat2
1361,B,21,cat1
